"legacy_symbol","proposed_name","kind","confidence","evidence","files_touched","notes","status"
"kajamka","IguMeshLoader","class","high","Parses .igu mesh data.","java-desktop/src/main/java/kajamka.java","Direct C++ asset-loader naming candidate.","seed_high_confidence"
"majjmka","ModuleLoader","class","high","XM/MOD loader.","java-desktop/src/main/java/majjmka.java","Direct C++ audio-loader naming candidate.","seed_high_confidence"
"maajmmk","ModuleSong","class","high","Loaded module or song model.","java-desktop/src/main/java/maajmmk.java","Direct C++ audio naming candidate.","seed_high_confidence"
"majjmma","MixerBus","class","high","Mixer and dispatcher of Mixable sources.","java-desktop/src/main/java/majjmma.java","Direct C++ audio naming candidate.","seed_high_confidence"
"kajjkmk","ExitOnCloseFrame","class","high","Legacy close-to-exit frame.","java-desktop/src/main/java/kajjkmk.java","Java host/windowing concept; probably absent in headless exporter.","seed_high_confidence"
"kmjjkmk","Mute95Scene","class","high","Scene registry explicitly maps script name mute95 to this class.","java-desktop/src/main/java/kmjjkmk.java","Direct C++ scene naming candidate.","seed_high_confidence"
"kajakka","DominaRoutine","class","high","Scene registry explicitly maps script name domina to this class.","java-desktop/src/main/java/kajakka.java","Direct C++ scene/routine naming candidate.","seed_high_confidence"
"maajmka","SaariScene","class","high","Scene registry explicitly maps script name saari to this class.","java-desktop/src/main/java/maajmka.java","Direct C++ scene naming candidate.","seed_high_confidence"
"kajjkka","KukotScene","class","high","Scene registry explicitly maps script name kukot to this class.","java-desktop/src/main/java/kajjkka.java","Direct C++ scene naming candidate.","seed_high_confidence"
"kmjjmka","MakuScene","class","high","Scene registry explicitly maps script name maku to this class.","java-desktop/src/main/java/kmjjmka.java","Direct C++ scene naming candidate.","seed_high_confidence"
"kmajmka","WatercubeScene","class","high","Scene registry explicitly maps script name watercube to this class.","java-desktop/src/main/java/kmajmka.java","Direct C++ scene naming candidate.","seed_high_confidence"
"kmaamka","FetaScene","class","high","Scene registry explicitly maps script name feta to this class.","java-desktop/src/main/java/kmaamka.java","Direct C++ scene naming candidate.","seed_high_confidence"
"mmaakmk","UppolRoutine","class","high","Scene registry explicitly maps script name uppol to this class.","java-desktop/src/main/java/mmaakmk.java","Direct C++ scene/routine naming candidate.","seed_high_confidence"
"majakkA()","scriptName","method","high","Lifecycle role is consistent across scene base usage.","java-desktop/src/main/java/mmjjmma.java","Primary scene-family naming for script identifier method.","seed_high_confidence"
"amAjAkk()","scriptName","method","high","Lifecycle role is consistent across routine base usage.","java-desktop/src/main/java/majjkka.java","Primary routine-family naming for script identifier method.","seed_high_confidence"
"MajakkA(mmjamma)","init","method","high","Lifecycle role is consistent across scene base usage.","java-desktop/src/main/java/mmjjmma.java","Scene-family initialization entrypoint.","seed_high_confidence"
"AmAjAkk(mmjamma)","init","method","high","Lifecycle role is consistent across routine base usage.","java-desktop/src/main/java/majjkka.java","Routine-family initialization entrypoint.","seed_high_confidence"
"MAjakkA()","onShow","method","high","Lifecycle role is consistent across scene base usage.","java-desktop/src/main/java/mmjjmma.java","Scene-family activation hook.","seed_high_confidence"
"AMAjAkk()","onShow","method","high","Lifecycle role is consistent across routine base usage.","java-desktop/src/main/java/majjkka.java","Routine-family activation hook.","seed_high_confidence"
"mAJakkA()","dispose","method","high","Lifecycle role is consistent across scene base usage.","java-desktop/src/main/java/mmjjmma.java","Scene-family teardown hook.","seed_high_confidence"
"aMaJaKK()","dispose","method","high","Lifecycle role is consistent across routine base usage.","java-desktop/src/main/java/majjkka.java","Routine-family teardown hook.","seed_high_confidence"
"maJakkA(...)","render","method","high","Lifecycle role is consistent across scene base usage.","java-desktop/src/main/java/mmjjmma.java","Scene-family render entrypoint.","seed_high_confidence"
"amaJaKK(...)","render","method","high","Lifecycle role is consistent across routine base usage.","java-desktop/src/main/java/majjkka.java","Routine-family render entrypoint.","seed_high_confidence"
"MAJakkA(String, float)","handleMessage","method","high","Lifecycle role is consistent across scene base usage.","java-desktop/src/main/java/mmjjmma.java","Scene-family message dispatch entrypoint.","seed_high_confidence"
"AMaJaKK(String, float)","handleMessage","method","high","Lifecycle role is consistent across routine base usage.","java-desktop/src/main/java/majjkka.java","Routine-family message dispatch entrypoint.","seed_high_confidence"
"kkAmajA","scriptCommands","field","high","Global MuhmuScript command array inferred from forward.java control flow.","java-desktop/src/main/java/forward.java","Good C++ app-member naming candidate.","seed_high_confidence"
"kKaMAjA","scriptCursor","field","high","Current index into scriptCommands inferred from forward.java control flow.","java-desktop/src/main/java/forward.java","Good C++ app-member naming candidate.","seed_high_confidence"
"KKaMAjA","nextScriptTimeHex","field","high","Next scheduled script time marker inferred from forward.java control flow.","java-desktop/src/main/java/forward.java","Good C++ app-member naming candidate.","seed_high_confidence"
"KkAmajA","deferredScriptCommand","field","high","Command attached to a future _xxxx marker inferred from forward.java control flow.","java-desktop/src/main/java/forward.java","Good C++ app-member naming candidate.","seed_high_confidence"
"kKAmajA","sceneRegistry","field","high","Registry of mmjjmma keyed by script name inferred from forward.java control flow.","java-desktop/src/main/java/forward.java","Good C++ app-member naming candidate.","seed_high_confidence"
"KkamajA","routineRegistry","field","high","Registry of majjkka keyed by script name inferred from forward.java control flow.","java-desktop/src/main/java/forward.java","Good C++ app-member naming candidate.","seed_high_confidence"
"KKamAJA","activeScene","field","high","Active mmjjmma instance inferred from forward.java control flow.","java-desktop/src/main/java/forward.java","Good C++ app-member naming candidate.","seed_high_confidence"
"kKamAJA","activeRoutine","field","high","Active majjkka instance inferred from forward.java control flow.","java-desktop/src/main/java/forward.java","Good C++ app-member naming candidate.","seed_high_confidence"
"kkAMAJA","frameTimer","field","high","Timer used for scene time and frame pacing inferred from forward.java control flow.","java-desktop/src/main/java/forward.java","Good C++ app-member naming candidate.","seed_high_confidence"
"KkAMAJA","renderFrame","field","high","Incremented every render loop inferred from forward.java control flow.","java-desktop/src/main/java/forward.java","Good C++ app-member naming candidate.","seed_high_confidence"
"kKAMAJA","sceneTimeSeconds","field","high","Scene time in seconds inferred from forward.java control flow.","java-desktop/src/main/java/forward.java","Good C++ app-member naming candidate.","seed_high_confidence"
"KKAMAJA","deltaSeconds","field","high","Frame delta in seconds inferred from forward.java control flow.","java-desktop/src/main/java/forward.java","Good C++ app-member naming candidate.","seed_high_confidence"
"KKaMAJA","showDebugTimecode","field","high","On-screen debug time overlay toggle inferred from forward.java control flow.","java-desktop/src/main/java/forward.java","Debug-facing name; low risk if retained only in Java tooling.","seed_high_confidence"
"KamAjak()","advanceTimeline","method","high","Timeline advancement role is clear from forward.java control flow.","java-desktop/src/main/java/forward.java","Direct C++ orchestration naming candidate.","seed_high_confidence"
"KaMajak(String)","executeScriptCommand","method","high","Script command dispatcher role is clear from forward.java control flow.","java-desktop/src/main/java/forward.java","Direct C++ orchestration naming candidate.","seed_high_confidence"
"kAMAJak(String)","showScene","method","high","Activates scene or routine based on script command.","java-desktop/src/main/java/forward.java","Direct C++ orchestration naming candidate.","seed_high_confidence"
"KAMajak(String)","killScene","method","high","Removes scene or routine based on script command.","java-desktop/src/main/java/forward.java","Direct C++ orchestration naming candidate.","seed_high_confidence"
kaaakma,BackdropMesh,class,medium,Shared textured backdrop mesh used by saari and feta scene setup.,java-desktop/src/main/java/kaaakma.java,Loads half8/octa8 mesh shells and backdrop textures.,seed_medium_confidence
kaaakmk,ByteReaders,class,high,Static helpers decode signed and little/big-endian byte values from module/image payloads.,java-desktop/src/main/java/kaaakmk.java,Pure byte parsing utility.,seed_high_confidence
kajakma,ScriptEventListener,class,medium,Scheduler callback interface receives integer position plus script payload.,java-desktop/src/main/java/kajakma.java,Used by ScriptEventScheduler dispatch.,seed_medium_confidence
kajakmk,SplineTrack,class,high,"Interpolates float, int, and quaternion keyframe tracks over time.",java-desktop/src/main/java/kajakmk.java,Track interpolation runtime referenced by saari docs.,seed_high_confidence
kajamma,Envelope,class,medium,Envelope point table with sustain and loop handling for module instruments.,java-desktop/src/main/java/kajamma.java,Built from XM envelope point arrays.,seed_medium_confidence
kajjmmk,ScriptEventScheduler,class,high,Muhmu Event Pipe thread schedules timed script callbacks.,java-desktop/src/main/java/kajjmmk.java,Matches portability-study event scheduler description.,seed_high_confidence
kmajmmk,ModuleSequencer,class,high,Advances module order list and rows for ModuleSong playback.,java-desktop/src/main/java/kmajmmk.java,Pattern/order sequencer.,seed_high_confidence
kmajmma,Vec3d,class,high,Three-component double-precision vector math.,java-desktop/src/main/java/kmajmma.java,Double-vector companion to Vec3f.,seed_high_confidence
kmaakmk,ScheduledScriptEvent,class,high,"Sortable scheduled script event storing script position, fire time, and payload.",java-desktop/src/main/java/kmaakmk.java,Leaf record for ScriptEventScheduler.,seed_high_confidence
kmjakmk,SaariTerrainMesh,class,medium,Saari-specific terrain mesh with water/reflection rendering branch.,java-desktop/src/main/java/kmjakmk.java,Role supported by saari roadmap and current usage.,seed_medium_confidence
kmjamma,RenderPrimitive,class,medium,Abstract render primitive sorted and rasterized by the software renderer.,java-desktop/src/main/java/kmjamma.java,Base class for Triangle and sort pipeline items.,seed_medium_confidence
kmjjkka,SongPositionQueue,class,medium,Queues future module song positions with wall-clock times for sync checks.,java-desktop/src/main/java/kmjjkka.java,Used by ModuleSong position queries.,seed_medium_confidence
kmjjmma,TrackKeyframe,class,high,Stores time plus spline parameters and payload for interpolated tracks.,java-desktop/src/main/java/kmjjmma.java,Direct support type for SplineTrack.,seed_high_confidence
kmjjmmk,FlashNoiseOverlay,class,high,Watercube flash/noise overlay that perturbs scanlines with random color noise.,java-desktop/src/main/java/kmjjmmk.java,Matches watercube roadmap description.,seed_high_confidence
maaakmk,Quaternionf,class,high,Quaternion math for rotation interpolation and matrix conversion.,java-desktop/src/main/java/maaakmk.java,Role is structurally explicit.,seed_high_confidence
maaamka,ScheduledSongPosition,class,medium,Leaf record storing a song position and its target wall-clock time.,java-desktop/src/main/java/maaamka.java,Used by SongPositionQueue.,seed_medium_confidence
maaamma,SortableItem,class,medium,Base type holding a sort key for depth sorting and event ordering.,java-desktop/src/main/java/maaamma.java,Shared by renderer and scheduler sort entries.,seed_medium_confidence
maajmma,MixerBusListener,class,medium,Callback interface invoked by MixerBus at tick boundaries.,java-desktop/src/main/java/maajmma.java,Implemented by ModuleSong.,seed_medium_confidence
majamma,ObjectSortEntry,class,medium,Generic sortable entry pairing a sort key with an arbitrary object.,java-desktop/src/main/java/majamma.java,Used by DepthSorter convenience constructor.,seed_medium_confidence
majamka,ModulePattern,class,high,Pattern row storage for decoded MOD/XM event data.,java-desktop/src/main/java/majamka.java,Fixed 5-byte event cells per channel.,seed_high_confidence
mmajmka,ModuleSample,class,high,PCM module sample with loop and playback-step helpers.,java-desktop/src/main/java/mmajmka.java,Core sample playback type.,seed_high_confidence
mmjakmk,ModuleInstrument,class,high,Module instrument holding sample map and envelopes.,java-desktop/src/main/java/mmjakmk.java,XM instrument model.,seed_high_confidence
mmjjkmk,ModuleChannel,class,high,Per-channel module playback state and effect processing.,java-desktop/src/main/java/mmjjkmk.java,Matches portability-study channel/voice player description.,seed_high_confidence
mmjjkka,ModuleVoice,class,high,Channel voice wrapper adding instrument envelopes and vibrato to ModuleChannel.,java-desktop/src/main/java/mmjjkka.java,Per-channel playback voice used by ModuleSong.,seed_high_confidence
mmjjmmk,EnvelopeCursor,class,medium,Envelope playback cursor with release handling.,java-desktop/src/main/java/mmjjmmk.java,Envelope runtime helper for ModuleVoice.,seed_medium_confidence
mmaakma,ImageSupport,class,medium,Image decoding and color helper utilities used by the desktop renderer.,java-desktop/src/main/java/mmaakma.java,Current tree uses it for GIF/JPG decode and palette/color helpers.,seed_medium_confidence
kaaamka,XmPatternHeaderOffsets,class,high,Offset constants match the XM pattern header layout.,java-desktop/src/main/java/kaaamka.java,Decompilation-era constants holder.,seed_high_confidence
kaaamma,ArchiveDecoder,class,medium,"Archive-like interface used with Class.forName(""muhmu.gl.ZipHoax"") to unpack embedded module payloads.",java-desktop/src/main/java/kaaamma.java,Generic naming kept because only the implementation string identifies ZipHoax directly.,seed_medium_confidence
kajjmka,KlunssiMeshFactory,class,medium,Large static mesh factory used by saari for the klunssi object.,java-desktop/src/main/java/kajjmka.java,Role corroborated by saari roadmap and uppol credits.,seed_medium_confidence
kajjmma,XmSampleHeaderOffsets,class,high,Offset constants match the XM sample header layout.,java-desktop/src/main/java/kajjmma.java,Decompilation-era constants holder.,seed_high_confidence
kmaakka,TunerLine,class,high,Text/color/font line item rendered by the startup tuner canvas.,java-desktop/src/main/java/kmaakka.java,Simple UI leaf type.,seed_high_confidence
maajkmk,ModHeaderOffsets,class,high,Offset constants match the MOD header and pattern-table layout.,java-desktop/src/main/java/maajkmk.java,Decompilation-era constants holder.,seed_high_confidence
majakka,XmInstrumentEnvelopeOffsets,class,high,Offset constants match the XM instrument extended-envelope layout.,java-desktop/src/main/java/majakka.java,Decompilation-era constants holder.,seed_high_confidence
majakma,XmInstrumentHeaderOffsets,class,high,Offset constants match the XM instrument header layout.,java-desktop/src/main/java/majakma.java,Decompilation-era constants holder.,seed_high_confidence
majakmk,StartupTunerCanvas,class,high,Startup canvas that benchmarks blit mode and chooses the audio device.,java-desktop/src/main/java/majakmk.java,Role is explicit from UI strings and call flow.,seed_high_confidence
majjkmk,IndexedTriangleSink,class,medium,"Indexed-surface triangle helper hooked into IndexedSurfacePresenter, currently a no-op sink.",java-desktop/src/main/java/majjkmk.java,Name stays conservative because the implementation is empty in this tree.,seed_medium_confidence
majjmmk,ModSampleHeaderOffsets,class,high,Offset constants match the classic MOD sample header layout.,java-desktop/src/main/java/majjmmk.java,Decompilation-era constants holder.,seed_high_confidence
mmaakka,ParticleVertex,class,medium,Particle-cloud vertex carrying position plus per-particle velocity.,java-desktop/src/main/java/mmaakka.java,Used only by the particle cloud mesh.,seed_medium_confidence
mmaamka,ParticleCloudMesh,class,high,"Particle cloud mesh used by feta and kukot, matching the reconstruction and feta roadmap notes.",java-desktop/src/main/java/mmaamka.java,Scene-support object rather than scene-private logic.,seed_high_confidence
mmjjmka,FullscreenHostWindow,class,high,Screen-sized window wrapper that centers or fills the 640x480 host panel.,java-desktop/src/main/java/mmjjmka.java,Mentioned directly in reconstruction notes.,seed_high_confidence
